"Taxa.Group";"Family";"Genus";"Species";"X1.1";"X1.2";"X1.3";"X1.4";"X1.5";"X1.6";"X1.7";"X2.1";"X2.2";"X3.1";"X3.2";"X3.3";"X4.1";"X4.2";"X4.3";"X4.4";"X5.1";"X5.2";"X5.3";"X5.4";"X5.5";"X5.6";"X5.7";"X5.8";"X6.1";"X6.2";"X6.3";"X6.4";"X7.1";"X7.2";"X7.3";"X7.4";"X7.5";"X8.1";"X8.2";"X8.3";"X8.4";"X8.5";"X9.1";"X9.2";"X9.3";"X9.4";"X9.5";"X9.6";"X9.7";"X9.8";"X10.1";"X10.2";"X10.3";"X10.4";"X10.5";"X10.6";"X10.7";"X10.8";"X10.9";"X11.1";"X11.2";"X11.3";"X11.4";"X11.5";"X11.6";"X11.7";"X11.8";"X12.1";"X12.2";"X12.3";"X12.4";"X12.5";"X12.6";"X12.7";"X13.1";"X13.2";"X13.3";"X13.4";"X13.5";"X13.6";"X13.7";"X13.8";"X14.1";"X14.2";"X14.3";"X15.1";"X15.2";"X15.3";"X15.4";"X15.5";"X15.6";"X15.7";"X15.8";"X15.9";"X16.1";"X16.2";"X16.3";"X16.4";"X17.1";"X17.2";"X17.3";"X18.1";"X18.2";"X19.1";"X19.2";"X19.3";"X20.1";"X20.2";"X20.3";"X20.4";"X20.5";"X21.1";"X21.2";"X21.3";"X21.4";"X21.5";"X21.6";"taxa";"level"
"11";"Bryozoa";"PLUMATELLIDAE";"Hyalinella";"punctata";0;0;0;0;3;2;2;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;3;0;0;3;0;0;0;0;0;0;3;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;1;0;1;3;0;0;3;0;0;0;1;0;3;0;0;2;1;0;0;0;0;3;3;1;0;0;3;0;1;3;2;0;0;0;0;0;0;3;"Hyalinella punctata";"SPE"
"12";"Bryozoa";"CRISTATELLIDAE";"Cristatella";"mucedo";0;0;0;0;0;0;3;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;3;0;0;3;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;0;0;1;3;1;1;3;0;0;0;3;1;2;0;0;3;1;0;0;3;3;0;3;0;1;0;3;0;1;3;0;0;0;0;0;0;0;3;"Cristatella mucedo";"SPE"
"13";"Bryozoa";"LOPHOPODIDAE";"Lophopus";"crystallinus";0;0;0;0;3;1;0;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;3;0;0;3;0;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;5;3;1;0;3;0;0;0;3;0;2;2;0;3;3;2;1;3;0;0;3;0;2;0;2;0;0;3;0;0;0;0;0;0;0;3;"Lophopus crystallinus";"SPE"
"14";"Bryozoa";"LOPHOPODIDAE";"Pectinatella";"magnifica";0;0;0;0;3;1;0;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;3;0;0;3;0;0;0;0;0;0;3;0;0;0;0;2;0;1;0;2;0;0;0;0;1;2;2;0;1;3;0;0;3;0;0;0;1;0;3;0;0;3;1;0;0;3;0;0;3;0;0;3;0;0;3;0;0;0;0;0;0;0;0;3;"Pectinatella magnifica";"SPE"
"15";"Turbellaria";"PLANARIIDAE";"Polycelis";"sp.";0;0;1;3;0;0;0;0;3;0;3;0;3;3;0;3;0;0;0;2;0;0;0;1;1;2;0;0;3;0;0;0;0;3;0;0;0;0;0;1;0;5;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;3;0;2;3;3;1;1;2;1;1;4;2;2;1;1;0;3;3;1;1;3;0;0;0;3;0;3;2;0;2;3;2;0;1;2;1;3;1;1;2;2;0;2;2;0;0;1;1;1;1;2;3;"Polycelis sp.";"GEN"
"16";"Turbellaria";"PLANARIIDAE";"Crenobia";"alpina";0;0;0;2;3;0;0;0;3;0;3;0;3;3;0;3;0;0;0;3;0;0;0;1;1;2;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;3;3;0;0;0;3;0;5;3;2;0;0;0;0;2;2;3;2;4;0;0;0;0;0;2;2;0;1;2;2;1;3;0;0;3;0;3;0;0;1;3;0;0;0;0;1;2;3;3;3;"Crenobia alpina";"SPE"
"17";"Turbellaria";"PLANARIIDAE";"Phagocata";"vitta";0;0;0;2;2;0;0;0;3;0;3;0;3;3;0;3;0;0;0;3;0;0;0;3;0;2;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;1;1;0;1;3;1;3;3;1;0;0;0;0;0;4;1;3;0;2;0;2;0;0;0;2;2;0;0;0;3;1;2;0;0;3;0;3;0;0;2;3;3;2;0;0;0;1;1;1;0;"Phagocata vitta";"SPE"
"18";"Turbellaria";"PLANARIIDAE";"Planaria";"sp.";0;0;0;3;0;0;0;0;3;0;3;0;3;3;0;3;0;0;0;3;0;0;0;0;0;2;0;0;3;2;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;2;2;1;1;1;0;1;3;0;0;3;0;0;0;1;0;0;0;0;0;2;1;1;1;3;2;3;0;2;0;0;0;0;3;2;0;0;0;0;1;1;2;"Planaria sp.";"GEN"
"19";"Turbellaria";"DUGESIIDAE";"Dugesia";"sp.";0;0;1;2;3;0;0;0;3;0;3;0;3;3;0;3;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;1;3;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;1;4;2;0;0;3;0;0;1;3;4;3;2;0;2;3;1;0;4;0;0;0;2;0;0;2;1;3;3;1;0;1;2;2;3;1;1;2;2;1;2;3;1;0;1;2;2;3;3;3;"Dugesia sp.";"GEN"
"20";"Turbellaria";"DENDROCOELIDAE";"Dendrocoelum";"lacteum";0;0;0;0;3;0;0;3;1;0;3;0;3;3;0;3;0;0;0;3;0;0;0;0;0;3;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;3;2;0;1;2;0;1;1;2;3;4;3;0;3;3;0;0;4;0;0;0;0;0;0;2;0;2;3;2;0;0;2;3;3;1;0;0;3;0;0;2;1;0;1;1;1;3;3;3;"Dendrocoelum lacteum";"SPE"
"21";"Turbellaria";"DENDROCOELIDAE";"Bdellocephala";"punctata";0;0;0;0;3;0;0;3;0;0;3;0;3;3;0;3;0;0;0;3;0;0;0;2;0;3;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;3;0;0;4;0;0;0;3;0;0;2;0;3;2;0;0;1;1;1;3;0;0;0;3;0;0;1;1;0;0;0;0;0;0;3;"Bdellocephala punctata";"SPE"
"22";"Nemertia";"TETRASTEMMATIDAE";"Prostoma";"graecense";0;0;0;3;0;0;0;0;3;0;3;0;3;0;0;3;0;0;0;3;0;0;0;0;0;3;0;0;0;3;0;0;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;5;0;0;0;0;0;0;0;3;0;2;3;3;0;0;2;0;0;0;0;1;1;0;0;1;3;0;0;3;3;0;0;3;0;1;3;2;2;2;3;0;0;1;1;3;0;1;0;3;0;0;1;1;0;0;0;0;0;0;3;"Prostoma graecense";"SPE"
"23";"Nematoda";"MERMITHIDAE";"Mermithidae";"Gen. sp.";0;0;0;3;0;0;0;1;1;0;3;0;3;1;0;2;0;0;0;3;0;0;0;0;2;1;1;0;0;0;0;0;3;3;0;0;0;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;3;1;3;0;0;0;0;0;0;1;1;1;1;0;0;0;3;1;0;2;0;0;0;3;0;0;0;2;1;1;1;0;1;1;1;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;"Mermithidae Gen. sp.";"FAM"
"24";"Nematomorpha";"GORDIIDAE";"Gordiidae";"Gen. sp.";0;0;0;0;0;0;3;3;1;1;1;3;2;1;0;2;0;0;0;3;0;0;0;0;3;1;1;0;0;1;1;1;1;3;0;0;0;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;2;3;0;0;0;0;3;2;0;0;0;0;0;2;1;2;0;2;2;2;0;2;0;0;0;0;1;1;1;0;3;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;"Gordiidae Gen. sp.";"FAM"
"25";"Oligochaeta";"HAPLOTAXIDAE";"Haplotaxis";"gordioides";0;0;0;0;0;0;3;0;0;0;3;0;3;3;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;2;3;0;0;0;0;0;0;1;0;0;3;0;0;1;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;2;0;3;0;1;2;2;1;1;1;1;1;0;0;3;1;0;1;2;1;1;1;0;0;0;2;1;2;2;0;3;0;0;3;0;2;0;0;0;2;2;0;0;0;0;0;3;3;2;"Haplotaxis gordioides";"SPE"
"26";"Oligochaeta";"NAIDIDAE";"Pristina/Pristinella";"sp.";0;3;1;0;0;0;0;0;1;0;0;3;3;3;0;3;0;2;1;0;0;0;0;3;1;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;2;0;0;2;2;1;1;1;1;2;2;0;0;3;0;0;2;3;2;1;2;0;0;3;2;3;2;2;0;1;2;2;3;0;0;0;3;0;2;3;3;0;0;0;0;3;3;2;"PristinaPristinella sp.";"GEN"
"27";"Oligochaeta";"NAIDIDAE";"Amphichaeta";"sp.";3;3;0;0;0;0;0;0;1;0;0;3;3;3;0;3;0;2;1;0;0;0;0;3;2;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;1;1;1;0;0;3;0;0;0;0;2;3;0;0;0;0;1;2;2;1;0;0;3;1;2;3;0;1;3;0;1;3;1;0;0;0;0;2;3;3;"Amphichaeta sp.";"GEN"
"28";"Oligochaeta";"NAIDIDAE";"Chaetogaster";"sp.";3;3;3;3;1;0;0;0;1;0;0;3;3;3;0;3;0;2;1;0;0;0;0;3;2;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0;3;0;0;1;1;0;1;2;0;2;0;0;3;2;0;0;2;0;0;0;0;3;0;0;3;2;0;0;2;2;2;2;2;2;2;2;0;2;3;0;0;2;2;2;0;5;1;0;0;2;2;3;1;1;1;3;1;3;1;0;0;3;0;2;3;1;0;0;0;0;1;1;3;"Chaetogaster sp.";"GEN"
"29";"Oligochaeta";"NAIDIDAE";"Stylaria";"lacustris";0;0;0;3;0;0;0;0;1;0;0;3;3;3;0;3;0;2;1;0;0;0;0;3;2;2;0;0;0;3;0;0;0;3;0;0;0;0;0;0;3;0;0;1;0;0;0;2;0;4;0;0;0;0;0;0;2;0;3;0;0;0;0;0;4;2;0;0;2;0;0;1;1;1;1;1;0;3;3;1;0;2;2;1;1;5;3;0;2;1;2;3;1;1;0;3;3;3;1;0;0;3;0;1;3;2;0;0;0;2;2;3;3;"Stylaria lacustris";"SPE"
"30";"Oligochaeta";"NAIDIDAE";"Dero / Aulophorus";"sp.";0;3;3;3;3;0;0;0;1;0;0;3;3;3;0;3;0;2;1;0;0;0;0;3;1;1;0;0;0;3;0;0;0;3;3;0;0;0;0;0;2;0;0;1;1;0;0;2;0;2;0;0;0;0;0;0;3;0;1;0;0;0;0;0;2;3;0;0;2;0;0;0;1;1;2;2;0;2;3;0;0;0;0;0;2;3;0;0;0;3;3;2;0;0;0;2;2;3;1;0;0;3;0;0;2;3;0;0;0;0;1;1;3;"Dero  Aulophorus sp.";"GEN"
